"Datetime","Tweet Id","Tweet","Username"
"2021-10-14 13:08:28+00:00","1448636826017624066","Kodim 0732/Sleman Memperkuat Persiapan Menuju Penerapan PTM Terbatas

Kodim 0732/Sleman menggencarkan program vaksinasi bagi pelajar untuk mendukung persiapan pelaksanaan Pembelajaran Tatap Muka (PTM) terbatas, seperti yang dilaksanakan di SMP N 1 Ngemplak Sleman hari ini. https://t.co/S1M2kv8BcJ","Lantari7"
"2021-10-14 13:07:21+00:00","1448636545875918848","Disdikpora menghentikan sementara pembelajaran tatap muka di Sekolah Menengah Pertama Negeri 2 Panggang. Penyebabnya ada tiga siswa yang terkonfirmasi COVID-19. https://t.co/4ywIbG6J9V","voidotid"
"2021-10-14 12:49:27+00:00","1448632042627862535","@booblejjry ptm : pembelajaran tatap muka","cahaechann"
"2021-10-14 12:45:44+00:00","1448631105523830784","Pembelajaran Tatap Muka (PTM) Perlu Segera Dilakukan Guna Mendorong Kemajuan Prestasi Siswa Ditengah Pandemi Covid-19 https://t.co/Gk3Foap2CQ","AureliaAyudia"
"2021-10-14 12:23:23+00:00","1448625479993344010","Saya sih sangat setuju dengan adanya Pembelajaran Tatap Muka, dapat mendorong prestasi siswa. https://t.co/cGbbYsXq6i","Beritaupdate17"
"2021-10-14 11:49:12+00:00","1448616876636979200","SEMUA PUNYA PERANNYA MASING MASING

PTM Terbatas terus digulirkan. Sudah banyak sekolah yang melakukan Pembelajaran tatap muka terbatas, guru harus memberikan contoh prokes yang baik dan benar, sementara anak didik juga harus selalu taat dan disiplin mengenai prokes. Yuk bisa https://t.co/M1JPftRSYV","YogaPras_"
"2021-10-14 11:17:16+00:00","1448608843177463810","KAMPRET BGT BESOK TERAKHIR PTM ANJRIT, PEMBELAJARAN TATAP MUKA LAGI BULAN DEPAN SOALNYA GANTIAN GITU 😭😭😭😭 https://t.co/uMacELChat","da1syyou"
"2021-10-14 11:09:51+00:00","1448606975432871939","@schfess offline. tp ya mau online ataupun offline ada sisi positif negatif nya si cuman lebih lebih nyaman offline buat diriku ini yg pembelajaran yang emg HARUS dijelasin secara tatap muka 👍🏼👍🏼","ggukiehr"
"2021-10-14 10:59:20+00:00","1448604328952942598","Pembelajaran Tatap Muka Terbatas Tahun Akademik 2021/2022 akan diatur lebih lanjut dengan Surat Edaran tersendiri.

Surat Edaran dapat diakses melalui : https://t.co/kU8aXiCjo0

Narahubung : Anggie (anggiesriannatasya/082145180022)

#InfoKemahasiswaanUnud https://t.co/eTPuRHcmMx","BEM_Udayana"
"2021-10-14 10:59:18+00:00","1448604319964549123","Dimana pembelajaran Tatap Muka Terbatas Tahun Akademik 2021-2022 akan diterapkan secara Hybrid pada beberapa fakultas dan program studi yang telah memenuhi syarat sesuai protokol kesehatan.

Ketentuan lebih lanjut mengenai petunjuk teknis/panduan pelaksanaan https://t.co/g9gOGrAHq6","BEM_Udayana"
"2021-10-14 10:59:15+00:00","1448604309990477824","Diumumkan kepada Mahasiswa Universitas Udayana bahwa pelaksanaan pembelajaran di Universitas Udayana dilakukan melalui pembelajaran tatap muka terbatas dan/atau pembelajaran jarak jauh dan pembelajaran tatap muka terbatas dilaksanakan dengan kapasitas maksimal 50% https://t.co/O24zRNcYWm","BEM_Udayana"
"2021-10-14 10:52:21+00:00","1448602573531795466","@jihoonpage @convomf pembelajaran tatap muka yanc","asahoik"
"2021-10-14 10:48:06+00:00","1448601501161508866","@exactlimit pembelajaran tatap muka","zfdg"
"2021-10-14 10:08:47+00:00","1448591609897967621","@bendiatmaja Kepada para kepala sekolah saya persilakan untuk segera melakukan kegiatan pembelajaran tatap muka terbatas dengan syarat wilayah sekolah tersebut minimal sudah pada level 3 PPKM dan vaksinasi Covid 1 yang penting kita sehat","AdrianResa3"
"2021-10-14 09:59:29+00:00","1448589269350563846","@HizrianV Kepada para kepala sekolah saya persilakan untuk segera melakukan kegiatan pembelajaran tatap muka terbatas dengan syarat wilayah sekolah tersebut minimal sudah pada level 3 PPKM dan vaksinasi Covid 1 yang penting kita sehat","eni_zahlia"
"2021-10-14 09:51:46+00:00","1448587326699888645","@melihartasari Kepada para kepala sekolah saya persilakan untuk segera melakukan kegiatan pembelajaran tatap muka terbatas dengan syarat wilayah sekolah tersebut minimal sudah pada level 3 PPKM dan vaksinasi Covid 1 yang penting kita sehat","Rismanovvita"
"2021-10-14 09:29:34+00:00","1448581740079947779","Pembelajaran tatap muka perlahan mulai diberlakukan dengan mengedepankan protokol kesehatan.

Namun tidak hanya itu, orang tua dan anak juga harus menjaga pola hidup sehat dan menciptakan lingkungan yang sehat. https://t.co/ADUALAcWfw","pertaminarjbt"
"2021-10-14 08:51:00+00:00","1448572032082333700","Awal-awal pandemi pas akhir kelas 11, aku sempat ditugaskan membuat poster bertema covid-19. Dan ya, aku buat ini. Sekarang, setelah hampir dua tahun kita beradaptasi dengan situasi ini, sekolah-sekolah mulai dibuka lagi. Pembelajaran tatap muka bertahap juga mulai dilakukan. https://t.co/dcVYPAUHEj","ipehnyaricuan"
"2021-10-14 08:48:53+00:00","1448571502249398275","Polres Kediri Kota mendukung pelaksanaan pembelajaran tatap muka (PTM) di Kota Kediri yang telah berjalan selama lebih dari dua minggu. Kemudian polisi juga menindaklanjuti dengan membuat program bernama Polisi Presisi Sambang Sekolah (PPSS).
@polisi_jatim
@KediriPolice https://t.co/n4HvkVrnTh","KontilKontil5"
"2021-10-14 08:34:56+00:00","1448567990371307520","Polres Kediri Kota mendukung pelaksanaan pembelajaran tatap muka (PTM) di Kota Kediri yang telah berjalan selama lebih dari dua minggu. Kemudian polisi juga menindaklanjuti dengan membuat program bernama Polisi Presisi Sambang Sekolah (PPSS). https://t.co/GgVzUfh4u5","polsekkdrkota2"
"2021-10-14 08:14:25+00:00","1448562826512007178","Kanit Binmas Aiptu Adenan melaksanakan pengecekan Pembelajaran Tatap Muka di SD N Kagokan 01 Ds Kagokan Kec Gatak sekaligus memberikan himbauan kepada para murid dan guru untuk selalu mengutamakan protokol kesehatan.

Kamis (14/10/2021)
#PolisiSukoharjo
#taatiProkes https://t.co/eNKBTME0Fj","PolsekGatak2"
"2021-10-14 08:14:19+00:00","1448562799538421767","(14/10) Pengawasan pembelajaran tatap muka (PTM) di SMKN 1 Kendal dan pembagian masker di Pasar Weleri Kabupaten Kendal. 

@ganjarpranowo @TajYasinMZ @provjateng @bkdjatengprov @ditpolpp_linmas @BudiyantoEp @kominfo_jtg @kab_kendal https://t.co/3EMDBByKOq","satpolpp_jateng"
"2021-10-14 07:54:34+00:00","1448557830571626497","[ INFORMASI | PEMBELAJARAN TATAP MUKA ]

Halo KM Faterna! Berhubungan dengan diselenggarakannya Perkuliahan Tatap Muka (PTM) Terbatas Semester Ganjil TA 2021/2022 di masa Pandemi Covid-19, berikut dilampirkan SK Rektor terkait PTM Terbatas Semester Ganjil TA 2021/2022. https://t.co/6qFhgWr3tm","bemkmfaterna_ua"
"2021-10-14 07:51:36+00:00","1448557086221258753","Dua pekan pembelajaran tatap muka di Sleman berjalan lancar dan tak ditemukan kasus positif COVID-19 akibat PTM di Sleman.  https://t.co/pnZK13gXBe","detikcom"
"2021-10-14 07:51:25+00:00","1448557036560531456","@bakuchiollyc aku kmrin simulasi pembelajaran tatap muka 😁👍","singularrytea"
"2021-10-14 07:25:41+00:00","1448550561519792128","Eddy Tinjau Pembelajaran Tatap Muka, Pelajar SMP N 1 Buntu Raja Senang Bisa Masuk Sekolah Lagi
 
https://t.co/PM6hemm0SG via @tribunmedan","tribunmedan"
"2021-10-14 07:14:38+00:00","1448547782424412160","Ada Siswa Positif Covid-19, Pemkab Sleman Akan Hentikan Pembelajaran Tatap Muka di Sekolah https://t.co/wrDnB8ZbUz","jogjacoret"
"2021-10-14 07:02:54+00:00","1448544827176484873","@fajarpernama19 Apabila seluruh pelajar telah mendapatkan vaksinasi Covid 19 maka silakan melaksanakan opsi belajar tatap muka secara terbatas di sekolah SKB empat menteri yang mengatur pembelajaran tatap muka telah  yang penting kita sehat","gilangbinpra"
